Potential,Flux
10.0,-2.220446049250313e-13
9.99,-0.0018871145773813325
9.98,-0.0009433339401843099
9.97,-0.0007218405447817489
9.96,-0.0006135675874041624
9.95,-0.0005475288041845161
9.94,-0.0005024904822237275
9.93,-0.00046963769118057996
9.92,-0.0004445795297458588
9.91,-0.0004248554481556255
9.9,-0.0004089674677798527
9.89,-0.00039594558975952765
9.88,-0.0003851309602342923
9.87,-0.000376058664208756
9.86,-0.00036839025419066473
9.85,-0.0003618728672272198
9.84,-0.0003563133929018747
9.83,-0.0003515615517590831
9.82,-0.0003474984757723121
9.81,-0.0003440287924538765
9.8,-0.00034107501623026337
9.79,-0.0003385734850258615
9.78,-0.0003364713698772448
9.77,-0.000334724441608536
9.76,-0.00033329536497372914
9.75,-0.0003321523968091711
9.74,-0.0003312683640732672
9.73,-0.00033061986837168433
9.72,-0.00033018664380435325
9.71,-0.000329951051258881
9.7,-0.0003298976640753182
9.69,-0.00033001293153755995
9.68,-0.0003302849050923484
9.67,-0.00033070300620163806
9.66,-0.0003312578402692168
9.65,-0.0003319410359914343
9.64,-0.00033274511268555074
9.63,-0.00033366336704698796
9.62,-0.00033468977811423883
9.61,-0.0003358189236690734
9.6,-0.00033704591118066674
9.59,-0.00033836631818662255
9.58,-0.0003397761386692011
9.57,-0.00034127173853537585
9.56,-0.0003428498159818716
9.55,-0.0003445073671892729
9.54,-0.00034624165667906937
9.53,-0.0003480501905572808
9.52,-0.0003499306916454614
9.51,-0.0003518810811620199
9.5,-0.00035389946007047257
9.49,-0.0003559840922040536
9.48,-0.0003581333888336147
9.47,-0.00036034589800948424
9.46,-0.00036262029223799175
9.45,-0.00036495535682412594
9.44,-0.00036734998309917444
9.43,-0.00036980315765156035
9.42,-0.00037231395499937037
9.41,-0.0003748815343707079
9.4,-0.0003775051281573738
9.39,-0.00038018404069362077
9.38,-0.00038291764081765933
9.37,-0.00038570535809689943
9.36,-0.00038854667827603606
9.35,-0.0003914411405014917
9.34,-0.0003943883329915465
9.33,-0.0003973878897056693
9.32,-0.00040043948712487065
9.31,-0.00040354284336352464
9.3,-0.0004066977133954097
9.29,-0.0004099038900529095
9.28,-0.00041316119647749616
9.27,-0.00041646949067164485
9.26,-0.00041982865905954014
9.25,-0.00042323861682014297
9.24,-0.00042669930688798985
9.23,-0.00043021069617843466
9.22,-0.00043377277769707234
9.21,-0.0004373855660988468
9.2,-0.00044104909890929633
9.19,-0.00044476343463717427
9.18,-0.00044852865110911466
9.17,-0.0004523448464688329
9.16,-0.0004562121362905458
9.15,-0.0004601306548002171
9.14,-0.0004641005526551112
9.13,-0.0004681219960556149
9.12,-0.00047219516874363876
9.11,-0.0004763202675617251
9.1,-0.0004804975063388284
9.09,-0.00048472711078328956
9.08,-0.000489009320703282
9.07,-0.0004933443908949897
9.06,-0.0004977325871458049
9.05,-0.0005021741890098852
9.04,-0.0005066694871436184
9.03,-0.0005112187849709571
9.02,-0.0005158223972401288
9.01,-0.000520480649690569
9.0,-0.0005251938789418986
8.99,-0.0005299624332710806
8.98,-0.0005347866706140181
8.97,-0.0005396669600088444
8.96,-0.0005446036802636556
8.95,-0.0005495972196234433
8.94,-0.0005546479775464519
8.93,-0.0005597563617065759
8.92,-0.000564922791101985
8.91,-0.0005701476915032089
8.9,-0.0005754315013373201
8.89,-0.0005807746643604617
8.879999999999999,-0.0005861776374294081
8.87,-0.0005916408826189823
8.86,-0.0005971648734393042
8.85,-0.0006027500919492113
8.84,-0.0006083970270909234
8.83,-0.0006141061787978686
8.82,-0.0006198780537758353
8.81,-0.0006257131694997753
8.8,-0.0006316120494398447
8.79,-0.0006375752268361623
8.78,-0.0006436032440326755
8.77,-0.0006496966499236478
8.76,-0.0006558560040614836
8.75,-0.0006620818726599254
8.74,-0.0006683748308144999
8.73,-0.0006747354612812728
8.72,-0.0006811643574744508
8.71,-0.000687662118470378
8.7,-0.0006942293528933163
8.69,-0.0007008666773611338
8.68,-0.0007075747178175718
8.67,-0.0007143541066456649
8.66,-0.0007212054865535222
8.65,-0.000728129507687747
8.64,-0.0007351268287436596
8.629999999999999,-0.0007421981165212088
8.62,-0.0007493440467021273
8.61,-0.0007565653035168651
8.6,-0.0007638625790784559
8.59,-0.000771236574270695
8.58,-0.0007786880000804075
8.57,-0.0007862175737116672
8.56,-0.0007938260218054438
8.55,-0.0008015140805506249
8.54,-0.0008092824939076593
8.53,-0.0008171320150518468
8.52,-0.0008250634063733386
8.51,-0.0008330774381448691
8.5,-0.0008411748902981131
8.49,-0.0008493565515355073
8.48,-0.0008576232194412725
8.47,-0.0008659757014806146
8.46,-0.000874414813001323
8.45,-0.0008829413796762609
8.44,-0.0008915562359490536
8.43,-0.0009002602251451108
8.42,-0.0009090542008038938
8.41,-0.0009179390256797149
8.4,-0.0009269155725188938
8.39,-0.0009359847225054452
8.379999999999999,-0.0009451473677035693
8.37,-0.0009544044085041392
8.36,-0.0009637567576215034
8.35,-0.0009732053348754377
8.34,-0.0009827510709659038
8.33,-0.0009923949083612271
8.32,-0.0010021377971902723
