Potential,Flux
10.0,-8.881784197001252e-13
9.99,-0.00041564713271213805
9.98,-0.00021149919204876966
9.97,-0.00016223828414041463
9.96,-0.00013832219536435986
9.95,-0.00012385606018572304
9.94,-0.00011408975231219642
9.93,-0.00010705168929092679
9.92,-0.00010175986331351083
9.91,-9.766400244082263e-05
9.9,-9.44291043136758e-05
9.89,-9.183823479474995e-05
9.88,-8.974403720163338e-05
9.87,-8.804251616645331e-05
9.86,-8.66579538127965e-05
9.85,-8.553376451558847e-05
9.84,-8.462671929887478e-05
9.83,-8.39031617516639e-05
9.82,-8.333645684643898e-05
9.81,-8.290521769094283e-05
9.8,-8.259205486194077e-05
9.79,-8.238266702154107e-05
9.78,-8.226517322906801e-05
9.77,-8.222961334070078e-05
9.76,-8.22675665368422e-05
9.75,-8.237186233106542e-05
9.74,-8.253635208621546e-05
9.73,-8.275573060156916e-05
9.72,-8.302539378224338e-05
9.71,-8.334132539644656e-05
9.7,-8.370000537105682e-05
9.69,-8.409833562872393e-05
9.68,-8.453357669413464e-05
9.67,-8.500329984340027e-05
9.66,-8.550534114082353e-05
9.65,-8.603777135185453e-05
9.64,-8.659886030493169e-05
9.63,-8.718705735155652e-05
9.62,-8.780096694138706e-05
9.61,-8.843933096969181e-05
9.6,-8.910101390036118e-05
9.59,-8.9784988999142e-05
9.58,-9.049032556607273e-05
9.57,-9.121618183005609e-05
9.56,-9.19617922923166e-05
9.55,-9.27264640626646e-05
9.54,-9.350956575726599e-05
9.53,-9.431052605535228e-05
9.52,-9.512882470641415e-05
9.51,-9.596399008771073e-05
9.5,-9.68155932090653e-05
9.49,-9.768324737979839e-05
9.48,-9.856660021512198e-05
9.47,-9.946533441329564e-05
9.46,-0.0001003791633147344
9.45,-0.00010130782923667425
9.44,-0.00010225110025352535
9.43,-0.00010320876842051518
9.42,-0.00010418065066186699
9.41,-0.00010516658288661773
9.4,-0.00010616642087679651
9.39,-0.00010718003895515693
9.38,-0.00010820732798677568
9.37,-0.00010924819482394099
9.36,-0.00011030256052979581
9.35,-0.00011137036071140471
9.34,-0.00011245154352135245
9.33,-0.0001135460679924094
9.32,-0.00011465390581388846
9.31,-0.00011577503955528812
9.3,-0.00011690946044584649
9.29,-0.00011805716892965279
9.28,-0.00011921817522075884
9.27,-0.00012039249830397836
9.26,-0.0001215801630483071
9.25,-0.00012278120353759192
9.24,-0.0001239956588516833
9.23,-0.00012522357706323817
9.22,-0.00012646501079682793
9.21,-0.00012772001911631747
9.2,-0.00012898866719179836
9.19,-0.0001302710237460758
9.18,-0.0001315671649404493
9.17,-0.0001328771701558651
9.16,-0.00013420112432438458
9.15,-0.00013553911626384973
9.14,-0.00013689123912197232
9.13,-0.0001382575902653116
9.12,-0.0001396382703910959
9.11,-0.00014103338508153485
9.1,-0.00014244304291644028
9.09,-0.00014386735458504774
9.08,-0.0001453064365497525
9.07,-0.00014676040738237361
9.06,-0.00014822938787517614
9.05,-0.00014971350348336188
9.04,-0.00015121288132746713
9.03,-0.00015272765252483111
9.02,-0.00015425794963608297
9.01,-0.00015580390921865472
9.0,-0.00015736566982837985
8.99,-0.0001589433729076717
8.98,-0.00016053716200836732
8.97,-0.0001621471834578614
8.96,-0.0001637735861370615
8.95,-0.0001654165214803882
8.94,-0.00016707614292066353
8.93,-0.0001687526064442224
8.92,-0.00017044607014682356
8.91,-0.00017215669467773864
8.9,-0.00017388464290668537
8.89,-0.00017563008025689442
8.879999999999999,-0.00017739317348386408
8.87,-0.0001791740923406948
8.86,-0.00018097300891195545
8.85,-0.00018279009639243782
8.84,-0.00018462553175169205
8.83,-0.000186479492958469
8.82,-0.00018835216042401015
8.81,-0.00019024371678000307
8.8,-0.00019215434732267056
8.79,-0.00019408423823641385
8.78,-0.00019603357948039246
8.77,-0.00019800256179092202
8.76,-0.00019999137945703183
8.75,-0.00020200022776695192
8.74,-0.0002040293043403807
8.73,-0.00020607880968359638
8.72,-0.00020814894574616716
8.71,-0.00021023991747526338
8.7,-0.00021235193159441224
8.69,-0.00021448519671452004
8.68,-0.0002166399242220507
8.67,-0.00021881632816800334
8.66,-0.00022101462360257784
8.65,-0.00022323502835153164
8.64,-0.00022547776357129123
8.629999999999999,-0.00022774305186157306
8.62,-0.0002300311174874281
8.61,-0.00023234218859968792
8.6,-0.00023467649445940708
8.59,-0.00023703426754728696
8.58,-0.00023941574223140805
8.57,-0.0002418211552113192
8.56,-0.0002442507461841714
8.55,-0.0002467047571785841
8.54,-0.0002491834319995334
8.53,-0.0002516870180047093
8.52,-0.0002542157641061138
8.51,-0.0002567699229905074
8.5,-0.00025934974834385116
8.49,-0.00026195549784890915
8.48,-0.0002645874308537799
8.47,-0.0002672458094821195
8.46,-0.000269930899854387
8.45,-0.0002726429686461529
8.44,-0.0002753822864187683
8.43,-0.0002781491267311864
8.42,-0.00028094376536280663
8.41,-0.0002837664806465412
8.4,-0.0002866175549121053
8.39,-0.00028949727193250396
8.379999999999999,-0.00029240591947754524
8.37,-0.0002953437869823716
8.36,-0.00029831116798995083
8.35,-0.00030130835892983043
8.34,-0.00030433565800791484
8.33,-0.0003073933679820229
