Potential,Flux
10.0,4.440892098500626e-13
9.99,-0.00623591476323071
9.98,-0.002980248031470012
9.97,-0.0022838189351892524
9.96,-0.0019420814794113284
9.95,-0.0017334772695054568
9.94,-0.001591156510660774
9.93,-0.0014873175177010367
9.92,-0.0014081011967537194
9.91,-0.0013457380083625736
9.9,-0.0012954966075451324
9.89,-0.0012543127012598632
9.88,-0.0012201046400983628
9.87,-0.0011914033765103582
9.86,-0.0011671393849166378
9.85,-0.0011465135472121801
9.84,-0.0011289155403826356
9.83,-0.0011138703895907653
9.82,-0.001101002382153382
9.81,-0.0010900100614330555
9.8,-0.0010806484953551632
9.79,-0.0010727164458934624
9.78,-0.0010660469182965926
9.77,-0.0010605000898555872
9.76,-0.0010559579379787465
9.75,-0.0010523201087186962
9.74,-0.0010495007009003743
9.73,-0.001047425736699914
9.72,-0.0010460311491433671
9.71,-0.001045261170729006
9.7,-0.0010450670269168683
9.69,-0.0010454058774200803
9.68,-0.001046239939794802
9.67,-0.0010475357701267285
9.66,-0.0010492636626224794
9.65,-0.0010513971492320806
9.64,-0.0010539125759878587
9.63,-0.0010567887469559167
9.62,-0.0010600066212562709
9.61,-0.001063549054491908
9.6,-0.0010674005758160021
9.59,-0.001071547198971956
9.58,-0.0010759762552048358
9.57,-0.0010806762521520241
9.56,-0.001085636746833707
9.55,-0.0010908482401816855
9.54,-0.0010963020786736166
9.53,-0.0011019903731757097
9.52,-0.0011079059233365385
9.51,-0.0011140421537492173
9.5,-0.0011203930549985586
9.49,-0.0011269531333679694
9.48,-0.0011337173657643973
9.47,-0.0011406811566416764
9.46,-0.0011478403045828145
9.45,-0.0011551909673279681
9.44,-0.0011627296339078441
9.43,-0.0011704530972211913
9.42,-0.0011783584316082951
9.41,-0.0011864429693142498
9.4,-0.0011947042838356126
9.39,-0.001203140170047412
9.38,-0.0012117486295482038
9.37,-0.0012205278552279708
9.36,-0.0012294762183895358
9.35,-0.0012385922569801977
9.34,-0.001247874665155635
9.33,-0.0012573222815115415
9.32,-0.0012669340816451324
9.31,-0.0012767091688292709
9.3,-0.001286646765685795
9.29,-0.001296746209411559
9.28,-0.001307006942896649
9.27,-0.0013174285085071347
9.26,-0.001328010545531555
9.25,-0.0013387527820762912
9.24,-0.0013496550312908084
9.23,-0.0013607171874818746
9.22,-0.0013719392217836912
9.21,-0.0013833211782721122
9.2,-0.0013948631703009085
9.19,-0.001406565378503366
9.18,-0.0014184280463513943
9.17,-0.0014304514782681466
9.16,-0.0014426360364083735
