Potential,Flux
10.0,-1.3322676295501878e-12
9.99,-4.821755039685627e-05
9.98,-4.597137914785776e-05
9.97,-4.639095596559173e-05
9.96,-4.6856127866590214e-05
9.95,-4.7326989771612205e-05
9.94,-4.780261020354004e-05
9.93,-4.828301147785652e-05
9.92,-4.876823977983946e-05
9.91,-4.925834462543577e-05
9.9,-4.9753374975480824e-05
9.89,-5.02533792356985e-05
9.88,-5.075840869839254e-05
9.87,-5.126851276848754e-05
9.86,-5.178374318237644e-05
9.85,-5.2304151343385286e-05
9.84,-5.282978920995163e-05
9.83,-5.3360708962557624e-05
9.82,-5.3896963780886153e-05
9.81,-5.4438608065865424e-05
9.8,-5.4985695108200616e-05
9.79,-5.553827997495375e-05
9.78,-5.6096417733186854e-05
9.77,-5.6660164005073455e-05
9.76,-5.722957541198781e-05
9.75,-5.780470924143799e-05
9.74,-5.8385622225820555e-05
9.73,-5.89723729849112e-05
9.72,-5.956501991644103e-05
9.71,-6.016362252836416e-05
9.7,-6.07682401065901e-05
9.69,-6.1378933269296e-05
9.68,-6.199576407794893e-05
9.67,-6.261879281765914e-05
9.66,-6.324808199398291e-05
9.65,-6.388369555576645e-05
9.64,-6.452569567549915e-05
9.63,-6.517414763429485e-05
9.62,-6.582911560304439e-05
9.61,-6.64906651959285e-05
9.6,-6.715886258223946e-05
9.59,-6.783377459740336e-05
9.58,-6.851546874298009e-05
9.57,-6.920401329768566e-05
9.56,-6.98994765402361e-05
9.55,-7.060192852570424e-05
9.54,-7.131143875405144e-05
9.53,-7.202807916772969e-05
9.52,-7.275192082101256e-05
9.51,-7.348303610044127e-05
9.5,-7.422149828073543e-05
9.49,-7.496738063661468e-05
9.48,-7.572075866324468e-05
9.47,-7.648170652352348e-05
9.46,-7.72503011559067e-05
9.45,-7.802661905476072e-05
9.44,-7.881073760263035e-05
9.43,-7.960273562535036e-05
9.42,-8.04026927259116e-05
9.41,-8.121068717503732e-05
9.4,-8.202680157332054e-05
9.39,-8.285111652295285e-05
9.38,-8.368371429146038e-05
9.37,-8.452467836761457e-05
9.36,-8.5374093017343e-05
9.35,-8.623204283964014e-05
9.34,-8.709861398781271e-05
9.33,-8.797389294823432e-05
9.32,-8.885796687341241e-05
9.31,-8.975092413709973e-05
9.3,-9.065285422327207e-05
9.29,-9.156384705999443e-05
9.28,-9.248399390759943e-05
9.27,-9.34133869145981e-05
9.26,-9.435211856256842e-05
9.25,-9.530028266535595e-05
9.24,-9.62579743690739e-05
9.23,-9.72252891529024e-05
9.22,-9.820232371726689e-05
9.21,-9.918917565077123e-05
