Potential,Flux
10.0,-0.0
9.99,-0.00018675857904604243
9.98,-9.727263106107387e-05
9.97,-7.659288292494182e-05
9.96,-6.724172796346295e-05
9.95,-6.210060898848013e-05
9.94,-5.903564237463854e-05
9.93,-5.715659523453098e-05
9.92,-5.601729757831464e-05
9.91,-5.536639080538919e-05
9.9,-5.5050537572931546e-05
9.89,-5.497082444794188e-05
9.88,-5.506086397932819e-05
9.87,-5.527481572453752e-05
9.86,-5.558037974306984e-05
9.85,-5.595446417316907e-05
9.84,-5.638039357602764e-05
9.83,-5.684603532341015e-05
9.82,-5.7342521064818186e-05
9.81,-5.7863346447639685e-05
9.8,-5.8403731961753635e-05
9.79,-5.896016308515328e-05
9.78,-5.953005555170421e-05
9.77,-6.011151110207891e-05
9.76,-6.0703139959095154e-05
9.75,-6.130392671277463e-05
9.74,-6.1913135285252e-05
9.73,-6.253023554503301e-05
9.72,-6.315485023833389e-05
9.71,-6.378671713047623e-05
9.7,-6.442565736453076e-05
9.69,-6.507155536628062e-05
9.68,-6.572434307905439e-05
9.67,-6.638398641900523e-05
9.66,-6.705047872479497e-05
9.65,-6.772383120967618e-05
9.64,-6.840407185126907e-05
9.63,-6.909123762000036e-05
9.62,-6.978537558932629e-05
9.61,-7.048653793972903e-05
9.6,-7.119478329098428e-05
9.59,-7.191017303842528e-05
9.58,-7.263277157498749e-05
9.57,-7.336264662427538e-05
9.56,-7.409986646500499e-05
9.55,-7.484450348371752e-05
9.54,-7.559662884570884e-05
9.53,-7.63563171579662e-05
9.52,-7.712364191725385e-05
9.51,-7.789868017304968e-05
9.5,-7.86815085307424e-05
9.49,-7.947220426185453e-05
9.48,-8.027084652528771e-05
9.47,-8.107751481301051e-05
9.46,-8.189228939414761e-05
9.45,-8.271525187009132e-05
9.44,-8.354648395325626e-05
9.43,-8.438606913241387e-05
9.42,-8.52340907853133e-05
9.41,-8.609063406606055e-05
9.4,-8.69557843508062e-05
9.39,-8.782962779285697e-05
9.38,-8.871225243289871e-05
9.37,-8.960374564548346e-05
9.36,-9.050419735867621e-05
9.35,-9.141369705645275e-05
9.34,-9.23323357771011e-05
9.33,-9.326020500299848e-05
9.32,-9.419739810390126e-05
9.31,-9.514400811649892e-05
9.3,-9.610012963179315e-05
9.29,-9.706585901714249e-05
9.28,-9.804129208479395e-05
9.27,-9.902652675641832e-05
9.26,-0.00010002166062061946
9.25,-0.0001010267943746257
9.24,-0.00010204202749442004
9.23,-0.00010306746178745385
9.22,-0.00010410320017140151
9.21,-0.00010514934511984819
9.2,-0.00010620600210398123
9.19,-0.00010727327637294337
9.18,-0.00010835127484121188
9.17,-0.00010944010475633092
9.16,-0.00011053987536424614
9.15,-0.00011165069646601467
9.14,-0.00011277267875087205
9.13,-0.00011390593479543298
9.12,-0.00011505057717631217
9.11,-0.00011620672168977109
9.1,-0.00011737448202264744
9.09,-0.00011855397652471567
9.08,-0.00011974532221348255
9.07,-0.00012094863788281174
9.06,-0.000122164044213946
9.05,-0.00012339166277630653
9.04,-0.00012463161624953756
9.03,-0.00012588402809043941
9.02,-0.00012714902375421389
9.01,-0.00012842672947321887
9.0,-0.0001297172733671914
8.99,-0.00013102078399995776
8.98,-0.0001323373916006787
8.97,-0.00013366722750873805
8.96,-0.00013501042561703258
8.95,-0.00013636711881925834
8.94,-0.00013773744389489195
8.93,-0.00013912153673523164
8.92,-0.00014051953611815549
8.91,-0.00014193158182074228
8.9,-0.00014335781461927155
8.89,-0.00014479837762149117
8.879999999999999,-0.00014625341415719362
8.87,-0.00014772306944355051
8.86,-0.00014920749091817953
8.85,-0.00015070682657380985
8.84,-0.0001522212261795275
8.83,-0.00015375084139179762
8.82,-0.00015529582464424152
8.81,-0.0001568563303688819
8.8,-0.00015843251455205376
8.79,-0.00016002453462338195
8.78,-0.00016163254978884822
8.77,-0.00016325672014261272
8.76,-0.00016489720888746007
8.75,-0.00016655417878208567
8.74,-0.00016822779658198783
8.73,-0.00016991822848755334
8.72,-0.00017162564402983804
8.71,-0.00017335021329500933
8.7,-0.00017509210892274751
8.69,-0.00017685150432988905
8.68,-0.00017862857615291716
8.67,-0.00018042350147240427
8.66,-0.00018223645970039115
8.65,-0.00018406763147016392
8.64,-0.00018591719985749933
8.629999999999999,-0.0001877853503806648
8.62,-0.00018967226877997234
8.61,-0.00019157814412640306
8.6,-0.00019350316626809416
8.59,-0.00019544752771771812
8.58,-0.00019741142276430423
8.57,-0.00019939504725119406
8.56,-0.0002013986001303536
8.55,-0.00020342228046477118
8.54,-0.0002054662910921934
8.53,-0.00020753083584956755
8.52,-0.00020961612101633165
8.51,-0.00021172235464828049
8.5,-0.00021384974768778875
8.49,-0.00021599851207643184
8.48,-0.000218168862642365
8.47,-0.0002203610163231673
8.46,-0.00022257519183277452
8.45,-0.0002248116095504571
8.44,-0.0002270704944073998
8.43,-0.0002293520706686536
8.42,-0.00023165656670709467
8.41,-0.0002339842124499114
8.4,-0.0002363352409329167
8.39,-0.0002387098861911241
8.379999999999999,-0.0002411083858122609
8.37,-0.00024353097904938892
8.36,-0.0002459779077090829
8.35,-0.0002484494167065421
8.34,-0.0002509457522892333
8.33,-0.00025346716403529257
8.32,-0.0002560139029661457
8.31,-0.0002585862246551329
8.3,-0.0002611843850086615
8.29,-0.0002638086435968745
8.28,-0.0002664592626544504
8.27,-0.0002691365068585583
8.26,-0.0002718406429957909
8.25,-0.00027457194162749943
8.24,-0.00027733067520241406
8.23,-0.0002801171190558449
8.22,-0.00028293155129865966
8.21,-0.00028577425337239504
8.2,-0.00028864550871698924
8.19,-0.0002915456038810049
8.18,-0.0002944748287436738
8.17,-0.0002974334752936514
8.16,-0.0003004218394053737
8.15,-0.00030344021850758907
8.14,-0.0003064889148030048
8.129999999999999,-0.0003095682323817073
8.12,-0.0003126784782203629
8.11,-0.00031581996284835157
8.1,-0.0003189930001257224
8.09,-0.0003221979069101266
8.08,-0.000325435002834773
8.07,-0.0003287046106414948
8.06,-0.0003320070571799505
8.05,-0.00033534267196433376
8.04,-0.0003387117875064405
8.03,-0.00034211474064793634
8.02,-0.00034555187033991075
8.01,-0.0003490235200853675
8.0,-0.00035253003616286804
7.99,-0.00035607176818164277
7.98,-0.00035964907041385885
7.97,-0.0003632622991300849
7.96,-0.0003669118149307593
7.95,-0.00037059798230210106
7.9399999999999995,-0.0003743211687279313
7.93,-0.0003780817459109187
7.92,-0.00038188008855133404
7.91,-0.00038571657656749636
7.9,-0.00038959159220919304
7.890000000000001,-0.00039350552172301434
7.88,-0.00039745875612950954
7.87,-0.0004014516898909193
7.859999999999999,-0.0004054847211332202
7.85,-0.00040955825220123643
7.84,-0.00041367268910352806
7.83,-0.0004178284428446588
7.82,-0.00042202592731577226
7.8100000000000005,-0.00042626556218117173
7.8,-0.0004305477697696958
7.79,-0.0004348729772951643
7.779999999999999,-0.0004392416158571777
7.77,-0.0004436541215513401
7.76,-0.00044811093413699155
7.75,-0.0004526124990356095
7.74,-0.00045715926366707293
7.73,-0.0004617516831117996
7.72,-0.0004663902141155418
7.71,-0.0004710753197523232
7.699999999999999,-0.00047580746698194787
7.6899999999999995,-0.0004805871283153351
7.68,-0.0004854147800381625
7.67,-0.0004902909028769997
7.66,-0.0004952159839977099
7.65,-0.0005001905141188701
7.640000000000001,-0.0005052149888440383
7.63,-0.0005102899094389102
7.62,-0.0005154157820541627
7.609999999999999,-0.0005205931173923872
7.6,-0.0005258224318183125
7.59,-0.0005311042465816485
7.58,-0.0005364390880391312
7.57,-0.0005418274882096341
7.5600000000000005,-0.0005472699841080342
7.55,-0.0005527671178562343
7.54,-0.000558319438015431
7.529999999999999,-0.0005639274978097575
7.52,-0.000569591855681395
7.51,-0.0005753130769559078
7.5,-0.0005810917312887298
7.49,-0.0005869283947745885
7.48,-0.0005928236485042149
7.47,-0.0005987780804517229
7.46,-0.0006047922842533637
