Potential,Flux
10.0,-0.0
9.99,-0.005162842619310659
9.98,-0.002494422348897629
9.97,-0.001910627320356184
9.96,-0.001624516765330597
9.95,-0.0014499118518029874
9.94,-0.0013307987190014359
9.93,-0.0012438962428973355
9.92,-0.0011776017674325345
9.91,-0.0011254116434322725
9.9,-0.0010833657556608145
9.89,-0.00104889946306308
9.88,-0.0010202706182127486
9.87,-0.0009962498088711413
9.86,-0.0009759419967725336
9.85,-0.000958678449625161
9.84,-0.0009439484368600759
9.83,-0.0009313544938605034
9.82,-0.0009205822256719287
9.81,-0.000911379376411503
9.8,-0.000903540991026297
9.79,-0.0008968986775492738
9.78,-0.0008913127009790855
9.77,-0.0008866660617945499
9.76,-0.0008828600038812695
9.75,-0.0008798105552987323
9.74,-0.000877445837987878
9.73,-0.0008757039513529463
9.72,-0.0008745312859437249
9.71,-0.0008738811798636448
9.7,-0.0008737128212032985
9.69,-0.0008739903626375778
9.68,-0.0008746821904548341
9.67,-0.0008757603208175979
9.66,-0.0008771998969425709
9.65,-0.0008789787724339249
9.64,-0.0008810771547906882
9.63,-0.0008834773075339086
9.62,-0.0008861632996293167
9.61,-0.0008891207842198767
9.6,-0.0008923368168822776
9.59,-0.0008957996942005053
9.58,-0.0008994988150989869
9.57,-0.0009034245629369053
9.56,-0.0009075682001480345
9.55,-0.0009119217774244959
9.54,-0.0009164780544468343
9.53,-0.0009212304287187223
9.52,-0.0009261728753928722
9.51,-0.0009312998916488624
9.5,-0.0009366064493976367
9.49,-0.0009420879508725832
9.48,-0.0009477401921031969
9.47,-0.0009535593284981658
9.46,-0.0009595418430929925
9.45,-0.0009656845204597531
9.44,-0.0009719844219491236
9.43,-0.0009784388634859198
9.42,-0.00098504539691735
9.41,-0.0009918017895849118
9.4,-0.0009987060093363809
9.39,-0.001005756211647224
9.38,-0.0010129507223011203
9.37,-0.0010202880290632876
9.36,-0.0010277667686908742
9.35,-0.0010353857169409508
9.34,-0.0010431437801328158
9.33,-0.001051039986155189
9.32,-0.001059073476805672
9.31,-0.0010672435005742997
9.3,-0.0010755494070924243
9.29,-0.0010839906398052435
9.28,-0.001092566731752953
9.27,-0.0011012773005747434
9.26,-0.0011101220419584834
9.25,-0.0011191007284194754
9.24,-0.0011282132024170721
9.23,-0.0011374593746893424
9.22,-0.0011468392199232014
9.21,-0.0011563527738678303
9.2,-0.0011660001312252533
9.19,-0.0011757814415425116
9.18,-0.0011856969075463297
9.17,-0.0011957467829226687
9.16,-0.001205931369985258
9.15,-0.0012162510181212838
9.14,-0.0012267061207937857
9.13,-0.001237297115208591
9.12,-0.0012480244798718232
9.11,-0.0012588887334796794
9.1,-0.0012698904326979843
9.09,-0.001281030173383435
9.08,-0.0012923085849214644
9.07,-0.0013037263342230432
9.06,-0.0013152841205066323
9.05,-0.001326982677962718
9.04,-0.0013388227704247413
9.03,-0.001350805195476923
9.02,-0.001362930779014171
9.01,-0.001375200379127861
9.0,-0.001387614880998811
8.99,-0.0014001751997838596
8.98,-0.001412882276952132
8.97,-0.0014257370835046856
8.96,-0.0014387406145344173
8.95,-0.0014518938946661564
8.94,-0.0014651979722835051
8.93,-0.0014786539216382621
8.92,-0.0014922628427394002
8.91,-0.0015060258599097764
8.9,-0.0015199441224522658
8.89,-0.0015340188035395386
8.879999999999999,-0.0015482510998809929
8.87,-0.0015626422327219558
8.86,-0.001577193446622438
8.85,-0.0015919060091240667
8.84,-0.0016067812106390633
8.83,-0.0016218203643392215
8.82,-0.0016370248074881744
8.81,-0.0016523958977776587
8.8,-0.0016679350174353402
8.79,-0.0016836435700051666
8.78,-0.0016995229816796353
8.77,-0.0017155747000785482
8.76,-0.0017318001961363905
8.75,-0.0017482009621039296
8.74,-0.0017647785125474158
8.73,-0.0017815343840155151
8.72,-0.001798470134817265
8.71,-0.001815587345466163
8.7,-0.0018328876187911902
8.69,-0.001850372578937609
8.68,-0.0018680438721441206
8.67,-0.0018859031672979754
8.66,-0.0019039521544916838
8.65,-0.0019221925462442613
8.64,-0.0019406260779453177
8.629999999999999,-0.0019592545065227895
8.62,-0.0019780796106649845
8.61,-0.0019971031930410277
8.6,-0.002016327076415081
8.59,-0.002035753108198257
8.58,-0.002055383157339996
8.57,-0.002075219116104421
8.56,-0.0020952628982939814
8.55,-0.0021155164415809224
8.54,-0.002135981707063195
8.53,-0.002156660678598321
8.52,-0.002177555362692374
8.51,-0.0021986677901653096
8.5,-0.00222000001426359
8.49,-0.002241554113213695
8.48,-0.0022633321886678104
8.47,-0.002285336365259738
8.46,-0.0023075687922702315
8.45,-0.0023300316444041513
8.44,-0.002352727120125131
8.43,-0.0023756574416555765
8.42,-0.0023988248564199566
8.41,-0.0024222316377109365
8.4,-0.0024458800823579097
8.39,-0.0024697725143907334
8.379999999999999,-0.002493911281598038
8.37,-0.0025182987593019845
8.36,-0.0025429373464724847
8.35,-0.002567829470279115
8.34,-0.002592977583315559
8.33,-0.002618384164598808
8.32,-0.0026440517199022295
8.31,-0.002669982782421698
8.3,-0.002696179911998442
8.29,-0.002722645696118242
8.28,-0.0027493827495783663
8.27,-0.0027763937159308583
8.26,-0.002803681265484137
8.25,-0.0028312480980785537
8.24,-0.0028590969409769684
8.23,-0.0028872305519733743
8.22,-0.002915651716173251
8.21,-0.002944363248547077
8.2,-0.0029733679942633984
8.19,-0.0030026688278006475
8.18,-0.0030322686536132792
8.17,-0.0030621704076860823
8.16,-0.0030923770543145324
8.15,-0.0031228915909897736
8.14,-0.003153717045512039
8.129999999999999,-0.003184856476878828
8.12,-0.003216312976617175
8.11,-0.003248089667673426
8.1,-0.0032801897054124396
8.09,-0.0033126162786167868
8.08,-0.003345372607599373
8.07,-0.003378461947534106
8.06,-0.003411887586013407
8.05,-0.003445652844824565
8.04,-0.003479761079949739
8.03,-0.003514215682454136
8.02,-0.0035490200773757863
8.01,-0.0035841777255019025
8.0,-0.003619692122924789
7.99,-0.0036555668015969545
7.98,-0.0036918053291090658
7.97,-0.0037284113104663064
7.96,-0.0037653883874222416
7.95,-0.0038027402385898412
7.9399999999999995,-0.0038404705801076133
7.93,-0.0038785831661947157
7.92,-0.003917081789261978
7.91,-0.003955970280800081
7.9,-0.0039952525102693315
7.890000000000001,-0.004034932388097268
7.88,-0.0040750138629030985
7.87,-0.004115500924939397
7.859999999999999,-0.004156397603649609
7.85,-0.004197707970554632
7.84,-0.00423943613747646
7.83,-0.004281586258980674
7.82,-0.004324162530933151
7.8100000000000005,-0.004367169192942555
7.8,-0.0044106105252517125
7.79,-0.004454490853733617
7.779999999999999,-0.004498814547782004
7.77,-0.004543586020311352
7.76,-0.004588809727978926
7.75,-0.00463449017507056
7.74,-0.0046806319093928295
7.73,-0.0047272395252706545
7.72,-0.004774317662881167
7.71,-0.0048218710111402885
7.699999999999999,-0.004869904304483086
7.6899999999999995,-0.004918422324640126
7.68,-0.004967429904301213
